PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
Soss,Oregon Skyhawks,Western,N/A,EBA,2,16,1,6,0,0,2,3.5,7,6,9.5,2,1
jaxx,Detroit Bullets,Eastern,N/A,EBA,2,30,5.5,3,0,0,3.5,7,13,11,20,1,2
ephesiansVI,Detroit Bullets,Eastern,N/A,EBA,2,18.5,3,5.5,2,1,1.5,3,6.5,7,14,1,2
Walter,Detroit Bullets,Eastern,N/A,EBA,3,14.333,6.333,2,0,0,1.667,3,6,5.667,10.667,1,2
Brady,Sacramento Rage,Western,N/A,EBA,2,36.5,1.5,7.5,0,0,4,7,8,14.5,18,2,2
TaxEvasion2008,Detroit Bullets,Eastern,N/A,EBA,1,8,4,1,0,5,1,0,1,4,5,1,2
lefthanded,Oregon Skyhawks,Western,N/A,EBA,3,17.333,6,3,0,1.667,1,2.667,2.667,7.333,10.333,2,1
tnbn,Oregon Skyhawks,Western,N/A,EBA,2,15,3,0.5,0.5,2,2,3,4,6,8,2,1
joh,Phoenix Power,Western,N/A,EBA,1,41,3,6,6,0,0,11,11,15,18,3,0
4sammy,Mexico City Aztecs,Western,N/A,EBA,2,5.5,7.5,4.5,0,0.5,2,1.5,2,2,4.5,2,0
SupremityXO,Portland Vipers,Western,N/A,EBA,2,34,1,7.5,4,0,4,3.5,6,15,20,1,3
DeliciousDarkSkin,Mexico City Aztecs,Western,N/A,EBA,1,11,3,1,0,0,0,3,3,4,4,2,0
3xCarti,Portland Vipers,Western,N/A,EBA,2,16,2,3,0,0,1,5,8,5.5,9,1,3
nixogen,Mexico City Aztecs,Western,N/A,EBA,2,22.5,1.5,4,2.5,0,1.5,4,9,8,14.5,2,0
lil von,Portland Vipers,Western,N/A,EBA,2,6.5,3.5,1.5,0,0,2,1.5,2.5,2.5,4,1,3
ItsRillaYT,Portland Vipers,Western,N/A,EBA,1,10,1,4,0,0,7,2,4,4,9,1,3
ace,Indiana Bandits,Eastern,N/A,EBA,2,7,10.5,3,0,1,3.5,1,2,3,7,1,2
fr0stss,Portland Vipers,Western,N/A,EBA,1,9,2,4,0,4,0,3,3,3,4,1,3
Shady,Charlotte Empire,Eastern,N/A,EBA,1,7,2,2,1,0,0,1,2,3,9,1,1
pa1n,Charlotte Empire,Eastern,N/A,EBA,1,11,3,12,0,0,3,0,2,4,12,1,1
Boom,Charlotte Empire,Eastern,N/A,EBA,1,16,6,0,1,4,2,4,4,6,7,1,1
pinkpuppyprincess222,Charlotte Empire,Eastern,N/A,EBA,1,27,2,7,1,1,1,5,7,11,18,1,1
OneManBackcourt,Chicago Aces,Eastern,N/A,EBA,1,23,1,4,1,0,2,5,8,9,14,2,0
deej,Chicago Aces,Eastern,N/A,EBA,1,28,6,15,0,0,6,3,5,12,15,2,0
chevy,Chicago Aces,Eastern,N/A,EBA,1,11,3,2,1,1,4,3,5,4,11,2,0
gIueguyy,Chicago Aces,Eastern,N/A,EBA,1,3,9,1,0,3,1,1,2,1,2,2,0
INSIDE4L,Chicago Aces,Eastern,N/A,EBA,1,12,5,1,0,3,3,2,2,5,6,2,0
zCxsmic,Mexico City Aztecs,Western,N/A,EBA,2,38.5,1,10,0,0,3,11.5,17.5,13.5,21,2,0
therighster,Mexico City Aztecs,Western,N/A,EBA,2,24,8,5.5,0,1.5,0,1.5,2,11,16,2,0
sel,Charlotte Empire,Eastern,N/A,EBA,1,15,2,2,0,0,1,5,8,5,8,1,1
OPLockdownDefender,Atlanta Breeze,Eastern,N/A,EBA,2,47,2,1,0,0,0.5,14,21,16.5,23.5,2,0
twiz,Atlanta Breeze,Eastern,N/A,EBA,2,8.5,1.5,1,0.5,4,0.5,1.5,3,3.5,7,2,0
hostilesuper,Atlanta Breeze,Eastern,N/A,EBA,2,16,10,3.5,0,0,3,3,3.5,7,9,2,0
Granvaleria,Atlanta Breeze,Eastern,N/A,EBA,1,14,6,2,0,0,0,2,2,6,10,2,0
Tw1n_glocks,Washington Volt,Western,N/A,EBA,1,12,6,4,0,0,3,0,3,5,13,1,2
king,Washington Volt,Western,N/A,EBA,2,17,3,0,0,0.5,1,4,4.5,6.5,8.5,1,2
vipe,Las Vegas Thrill,Western,N/A,EBA,2,15,1.5,9,0,0,0.5,1,1.5,7,9,1,2
