PLAYER,TEAM,CONFERENCE,POSITION,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
Qwertyy2x,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Anklebreaker_3,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
llpowerIl,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
MeepGotBan,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Diggertrigger(DRAGONKNIGHT1373),Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
iiilbs,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Zora_kinsuki,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayename_Slic,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Hokagebinballin,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
The234Best,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
dncxnsss,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sayvwave,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
BBGTheJoker,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
amiIIolive,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain2tuff123,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Xxlilguccixx23,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripjoyboy6,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Laylxh_0,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
dinosaurzilla61,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
lalala_10100,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
theamazingnomike,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
